COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:479
COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:480
WINDOW_OPENED, v:java.awt.Dimension[width=492,height=499], since:482
COMPONENT_MOVED, size:java.awt.Dimension[width=498,height=471], bounds:java.awt.Rectangle[x=1,y=28,width=498,height=471], since:794
MOUSE_MOVED, x:117, y:433, bt:0, since:15279
MOUSE_MOVED, x:117, y:434, bt:0, since:15305
MOUSE_MOVED, x:118, y:434, bt:0, since:15330
MOUSE_PRESSED, x:118, y:434, bt:16, since:15473
MOUSE_DRAGGED, x:121, y:435, bt:0, since:15660
MOUSE_DRAGGED, x:122, y:436, bt:0, since:15717
MOUSE_DRAGGED, x:123, y:436, bt:0, since:15740
MOUSE_DRAGGED, x:125, y:436, bt:0, since:15801
MOUSE_DRAGGED, x:126, y:436, bt:0, since:15897
MOUSE_DRAGGED, x:127, y:436, bt:0, since:15919
MOUSE_DRAGGED, x:128, y:436, bt:0, since:15968
MOUSE_DRAGGED, x:128, y:431, bt:0, since:16085
MOUSE_DRAGGED, x:128, y:430, bt:0, since:16140
MOUSE_DRAGGED, x:127, y:428, bt:0, since:16172
MOUSE_DRAGGED, x:126, y:426, bt:0, since:16204
MOUSE_DRAGGED, x:125, y:425, bt:0, since:16315
MOUSE_DRAGGED, x:124, y:425, bt:0, since:16338
MOUSE_DRAGGED, x:123, y:425, bt:0, since:16369
MOUSE_DRAGGED, x:122, y:425, bt:0, since:16403
MOUSE_DRAGGED, x:120, y:426, bt:0, since:16433
MOUSE_DRAGGED, x:119, y:426, bt:0, since:16490
MOUSE_DRAGGED, x:118, y:427, bt:0, since:16516
MOUSE_DRAGGED, x:118, y:428, bt:0, since:16548
MOUSE_DRAGGED, x:117, y:428, bt:0, since:16634
MOUSE_DRAGGED, x:117, y:429, bt:0, since:16727
MOUSE_DRAGGED, x:116, y:431, bt:0, since:16790
MOUSE_DRAGGED, x:114, y:433, bt:0, since:16824
MOUSE_DRAGGED, x:113, y:434, bt:0, since:16824
MOUSE_DRAGGED, x:113, y:435, bt:0, since:16868
MOUSE_DRAGGED, x:113, y:436, bt:0, since:16868
MOUSE_DRAGGED, x:113, y:437, bt:0, since:16999
MOUSE_DRAGGED, x:115, y:438, bt:0, since:17031
MOUSE_DRAGGED, x:116, y:438, bt:0, since:17089
MOUSE_DRAGGED, x:118, y:439, bt:0, since:17152
MOUSE_DRAGGED, x:119, y:439, bt:0, since:17270
MOUSE_DRAGGED, x:121, y:439, bt:0, since:17326
MOUSE_DRAGGED, x:122, y:438, bt:0, since:17357
MOUSE_DRAGGED, x:123, y:438, bt:0, since:17408
