WINDOW_OPENED, v:java.awt.Dimension[width=500,height=500], since:253
MOUSE_MOVED, x:340, y:2, bt:0, since:20136
MOUSE_MOVED, x:341, y:0, bt:0, since:20185
MOUSE_MOVED, x:358, y:4, bt:0, since:21602
MOUSE_MOVED, x:370, y:35, bt:0, since:21656
MOUSE_MOVED, x:394, y:113, bt:0, since:21716
MOUSE_MOVED, x:405, y:142, bt:0, since:21743
MOUSE_MOVED, x:420, y:183, bt:0, since:21772
MOUSE_MOVED, x:440, y:221, bt:0, since:21803
MOUSE_MOVED, x:458, y:252, bt:0, since:21836
MOUSE_MOVED, x:476, y:289, bt:0, since:21868
MOUSE_MOVED, x:483, y:313, bt:0, since:21899
MOUSE_MOVED, x:483, y:461, bt:0, since:22817
MOUSE_MOVED, x:482, y:461, bt:0, since:22847
COMPONENT_RESIZED, size:java.awt.Dimension[width=550,height=487], bounds:java.awt.Rectangle[x=8,y=30,width=550,height=487], since:23651
COMPONENT_RESIZED, size:java.awt.Dimension[width=551,height=487], bounds:java.awt.Rectangle[x=8,y=30,width=551,height=487], since:23653
COMPONENT_RESIZED, size:java.awt.Dimension[width=551,height=487], bounds:java.awt.Rectangle[x=8,y=30,width=551,height=487], since:23653
COMPONENT_RESIZED, size:java.awt.Dimension[width=561,height=493], bounds:java.awt.Rectangle[x=8,y=30,width=561,height=493], since:23796
COMPONENT_RESIZED, size:java.awt.Dimension[width=561,height=493], bounds:java.awt.Rectangle[x=8,y=30,width=561,height=493], since:23797
COMPONENT_RESIZED, size:java.awt.Dimension[width=561,height=493], bounds:java.awt.Rectangle[x=8,y=30,width=561,height=493], since:23797
COMPONENT_RESIZED, size:java.awt.Dimension[width=561,height=493], bounds:java.awt.Rectangle[x=8,y=30,width=561,height=493], since:23797
COMPONENT_RESIZED, size:java.awt.Dimension[width=706,height=559], bounds:java.awt.Rectangle[x=8,y=30,width=706,height=559], since:23912
COMPONENT_RESIZED, size:java.awt.Dimension[width=706,height=559], bounds:java.awt.Rectangle[x=8,y=30,width=706,height=559], since:23912
COMPONENT_RESIZED, size:java.awt.Dimension[width=798,height=595], bounds:java.awt.Rectangle[x=8,y=30,width=798,height=595], since:24053
COMPONENT_RESIZED, size:java.awt.Dimension[width=798,height=595], bounds:java.awt.Rectangle[x=8,y=30,width=798,height=595], since:24053
COMPONENT_RESIZED, size:java.awt.Dimension[width=798,height=595], bounds:java.awt.Rectangle[x=8,y=30,width=798,height=595], since:24053
COMPONENT_RESIZED, size:java.awt.Dimension[width=809,height=599], bounds:java.awt.Rectangle[x=8,y=30,width=809,height=599], since:24216
COMPONENT_RESIZED, size:java.awt.Dimension[width=809,height=599], bounds:java.awt.Rectangle[x=8,y=30,width=809,height=599], since:24216
COMPONENT_RESIZED, size:java.awt.Dimension[width=809,height=599], bounds:java.awt.Rectangle[x=8,y=30,width=809,height=599], since:24216
COMPONENT_RESIZED, size:java.awt.Dimension[width=846,height=604], bounds:java.awt.Rectangle[x=8,y=30,width=846,height=604], since:24368
COMPONENT_RESIZED, size:java.awt.Dimension[width=846,height=604], bounds:java.awt.Rectangle[x=8,y=30,width=846,height=604], since:24368
COMPONENT_RESIZED, size:java.awt.Dimension[width=846,height=604], bounds:java.awt.Rectangle[x=8,y=30,width=846,height=604], since:24369
COMPONENT_RESIZED, size:java.awt.Dimension[width=929,height=615], bounds:java.awt.Rectangle[x=8,y=30,width=929,height=615], since:24563
COMPONENT_RESIZED, size:java.awt.Dimension[width=929,height=615], bounds:java.awt.Rectangle[x=8,y=30,width=929,height=615], since:24564
COMPONENT_RESIZED, size:java.awt.Dimension[width=946,height=616], bounds:java.awt.Rectangle[x=8,y=30,width=946,height=616], since:24675
COMPONENT_RESIZED, size:java.awt.Dimension[width=946,height=616], bounds:java.awt.Rectangle[x=8,y=30,width=946,height=616], since:24675
COMPONENT_RESIZED, size:java.awt.Dimension[width=946,height=616], bounds:java.awt.Rectangle[x=8,y=30,width=946,height=616], since:24675
